conference,division,name,shortName,mascot,stadiumId,code
SOCON,,Mercer University,Mercer,Bears,,MERCER
SOCON,,East Tennessee State University,ETSU,Buccaneers,,ETSU
SOCON,,Western Carolina University,Western Carolina,Catamounts,,W-CAR
SLC,,Nicholls University,Nicholls,Colonels,,NICH
SLC,,Sam Houston State University,Sam Houston State,Bearkats,,SAM-HOU
SLC,,Incarnate Word (?),Incarnate Word,Cardinals,,INCARN
SLC,,University of Central Arkansas,Central Arkansas,Bears,,C-ARK
SLC,,University of Southeast Louisiana,Southeast Louisiana,Lions,,SE-LA
SLC,,Lamar University,Lamar,Cardinals,,LAMAR
SLC,,Abilene Christian University,Abilene Christian,Wildcats,,ABI-XN
SLC,,Houston Baptist University,Houston Baptist,Huskies,,HOU-BAP
SLC,,Stephen F. Austin University,Stephen F. Austin,Lumberjacks,,SFAUS
SLC,,McNeese University,McNeese,Cowboys,,MCNEESE
SLC,,Northwestern State University,Northwestern State,Demons,,NWSU
SWAC,East,Alcorn State University,Alcorn State,Braves,,ALCORN
SWAC,East,Alabama State University,Alabama State,Hornets,,ALA-ST
SWAC,East,Alabama A&M University,Alababa A&M,Bulldogs,,ALA-AM
SWAC,East,Jackson State University,Jackson State,Tigers,,JACK-ST
SWAC,East,Mississippi Valley State University,Mississippi Valley State,Delta Devils,,MVSU
SWAC,West,Southern University,Southern,Jaguars,,SOUTH
SWAC,West,University of Arkansas - Pine Bluff,Arkansas - Pine Bluff,Golden Lions,,ARK-PB
SWAC,West,Prairie View A&M University,Prairie View A&M,Panthers,,PVAM
SWAC,West,Grambling State University,Grambling State,Tigers,,GRAMB
SWAC,West,Texas Southern University,Texas Southern,Tigers,,TX-SO
